"key_sp","position"
"SURVEY_GRASS_RICHNESS_SPEC27","8"
"SURVEY_GRASS_RICHNESS_SPEC27","9"
"SURVEY_GRASS_RICHNESS_SPEC27","10"
"SURVEY_GRASS_RICHNESS_SPEC27","11"
"SURVEY_GRASS_RICHNESS_SPEC27","12"
"SURVEY_GRASS_RICHNESS_SPEC27","13"
"SURVEY_GRASS_RICHNESS_SPEC27","14"
"SURVEY_GRASS_RICHNESS_SPEC27","15"
"SURVEY_GRASS_RICHNESS_SPEC27","16"
"SURVEY_GRASS_RICHNESS_SPEC27","17"
"SURVEY_GRASS_RICHNESS_SPEC27","18"
"SURVEY_GRASS_RICHNESS_SPEC32","21"
"SURVEY_GRASS_RICHNESS_SPEC32","22"
"SURVEY_GRASS_RICHNESS_SPEC32","23"
"SURVEY_GRASS_RICHNESS_SPEC32","24"
"SURVEY_GRASS_RICHNESS_SPEC8","33"
"SURVEY_GRASS_RICHNESS_SPEC8","35"
"SURVEY_GRASS_RICHNESS_SPEC8","113"
"SURVEY_GRASS_RICHNESS_SPEC8","140"
"SURVEY_GRASS_RICHNESS_SPEC8","141"
"SURVEY_GRASS_RICHNESS_SPEC8","142"
"SURVEY_GRASS_RICHNESS_SPEC8","164"
"SURVEY_GRASS_RICHNESS_SPEC8","165"
"SURVEY_GRASS_RICHNESS_SPEC8","166"
"SURVEY_GRASS_RICHNESS_SPEC8","264"
"SURVEY_GRASS_RICHNESS_SPEC8","306"
"SURVEY_GRASS_RICHNESS_SPEC8","307"
"SURVEY_GRASS_RICHNESS_SPEC8","376"
"SURVEY_GRASS_RICHNESS_SPEC8","378"
"SURVEY_GRASS_RICHNESS_SPEC8","379"
"SURVEY_GRASS_RICHNESS_SPEC8","380"
"SURVEY_GRASS_RICHNESS_SPEC8","381"
"SURVEY_GRASS_RICHNESS_SPEC8","382"
"SURVEY_GRASS_RICHNESS_SPEC8","383"
"SURVEY_GRASS_RICHNESS_SPEC8","384"
"SURVEY_GRASS_RICHNESS_SPEC8","511"
"SURVEY_GRASS_RICHNESS_SPEC8","512"
"SURVEY_GRASS_RICHNESS_SPEC8","513"
"SURVEY_GRASS_RICHNESS_SPEC8","514"
"SURVEY_GRASS_RICHNESS_SPEC8","518"
"SURVEY_GRASS_RICHNESS_SPEC8","590"
"SURVEY_GRASS_RICHNESS_SPEC8","591"
"SURVEY_GRASS_RICHNESS_SPEC8","592"
"SURVEY_GRASS_RICHNESS_SPEC8","651"
"SURVEY_GRASS_RICHNESS_SPEC8","652"
"SURVEY_GRASS_RICHNESS_SPEC8","653"
"SURVEY_GRASS_RICHNESS_SPEC8","654"
"SURVEY_GRASS_RICHNESS_SPEC8","775"
"SURVEY_GRASS_RICHNESS_SPEC8","776"
"SURVEY_GRASS_RICHNESS_SPEC8","777"
"SURVEY_GRASS_RICHNESS_SPEC8","778"
"SURVEY_GRASS_RICHNESS_SPEC8","779"
"SURVEY_GRASS_RICHNESS_SPEC8","794"
"SURVEY_GRASS_RICHNESS_SPEC8","807"
"SURVEY_GRASS_RICHNESS_SPEC8","825"
"SURVEY_GRASS_RICHNESS_SPEC8","836"
"SURVEY_GRASS_RICHNESS_SPEC8","837"
"SURVEY_GRASS_RICHNESS_SPEC8","888"
"SURVEY_GRASS_RICHNESS_SPEC8","889"
"SURVEY_GRASS_RICHNESS_SPEC8","890"
"SURVEY_GRASS_RICHNESS_SPEC8","934"
"SURVEY_GRASS_RICHNESS_SPEC8","937"
"SURVEY_GRASS_RICHNESS_SPEC8","938"
"SURVEY_GRASS_RICHNESS_SPEC8","939"
"SURVEY_GRASS_RICHNESS_SPEC8","978"
"SURVEY_GRASS_RICHNESS_SPEC8","1123"
"SURVEY_GRASS_RICHNESS_SPEC8","1124"
"SURVEY_GRASS_RICHNESS_SPEC8","1125"
"SURVEY_GRASS_RICHNESS_SPEC8","1126"
"SURVEY_GRASS_RICHNESS_SPEC8","1127"
"SURVEY_GRASS_RICHNESS_SPEC8","1263"
"SURVEY_GRASS_RICHNESS_SPEC8","1324"
"SURVEY_GRASS_RICHNESS_SPEC8","1413"
"SURVEY_GRASS_RICHNESS_SPEC8","1534"
"SURVEY_GRASS_RICHNESS_SPEC8","1561"
"SURVEY_GRASS_RICHNESS_SPEC8","1562"
"SURVEY_GRASS_RICHNESS_SPEC8","1563"
"SURVEY_GRASS_RICHNESS_SPEC8","1564"
"SURVEY_GRASS_RICHNESS_SPEC8","1565"
"SURVEY_GRASS_RICHNESS_SPEC8","1607"
"SURVEY_GRASS_RICHNESS_SPEC8","1612"
"SURVEY_GRASS_RICHNESS_SPEC8","1613"
"SURVEY_GRASS_RICHNESS_SPEC8","1614"
"SURVEY_GRASS_RICHNESS_SPEC8","1662"
"SURVEY_GRASS_RICHNESS_SPEC8","1663"
"SURVEY_GRASS_RICHNESS_SPEC8","1675"
"SURVEY_GRASS_RICHNESS_SPEC8","1676"
"SURVEY_GRASS_RICHNESS_SPEC8","1677"
"SURVEY_GRASS_RICHNESS_SPEC8","1678"
"SURVEY_GRASS_RICHNESS_SPEC8","1679"
"SURVEY_GRASS_RICHNESS_SPEC8","1724"
"SURVEY_GRASS_RICHNESS_SPEC8","1725"
"SURVEY_GRASS_RICHNESS_SPEC8","1726"
"SURVEY_GRASS_RICHNESS_SPEC8","1727"
"SURVEY_GRASS_RICHNESS_SPEC8","2035"
"SURVEY_GRASS_RICHNESS_SPEC8","2036"
"SURVEY_GRASS_RICHNESS_SPEC8","2100"
"SURVEY_GRASS_RICHNESS_SPEC8","2101"
"SURVEY_GRASS_RICHNESS_SPEC8","2102"
"SURVEY_GRASS_RICHNESS_SPEC8","2103"
"SURVEY_GRASS_RICHNESS_SPEC8","2104"
"SURVEY_GRASS_RICHNESS_SPEC8","2114"
"SURVEY_GRASS_RICHNESS_SPEC8","2159"
"SURVEY_GRASS_RICHNESS_SPEC8","2256"
"SURVEY_GRASS_RICHNESS_SPEC8","2257"
"SURVEY_GRASS_RICHNESS_SPEC8","2258"
"SURVEY_GRASS_RICHNESS_SPEC8","2297"
"SURVEY_GRASS_RICHNESS_SPEC8","2298"
"SURVEY_GRASS_RICHNESS_SPEC8","2299"
"SURVEY_GRASS_RICHNESS_SPEC8","2300"
"SURVEY_GRASS_RICHNESS_SPEC8","2301"
"SURVEY_GRASS_RICHNESS_SPEC8","2302"
"SURVEY_GRASS_RICHNESS_SPEC8","2303"
"SURVEY_GRASS_RICHNESS_SPEC8","2304"
"SURVEY_GRASS_RICHNESS_SPEC8","2305"
"SURVEY_GRASS_RICHNESS_SPEC8","2306"
"SURVEY_GRASS_RICHNESS_SPEC8","2374"
"SURVEY_GRASS_RICHNESS_SPEC13","218"
"SURVEY_GRASS_RICHNESS_SPEC13","219"
"SURVEY_GRASS_RICHNESS_SPEC13","220"
"SURVEY_GRASS_RICHNESS_SPEC13","221"
"SURVEY_GRASS_RICHNESS_SPEC13","222"
"SURVEY_GRASS_RICHNESS_SPEC13","223"
"SURVEY_GRASS_RICHNESS_SPEC13","224"
"SURVEY_GRASS_RICHNESS_SPEC13","225"
"SURVEY_GRASS_RICHNESS_SPEC41","239"
"SURVEY_GRASS_RICHNESS_SPEC41","240"
"SURVEY_GRASS_RICHNESS_SPEC41","241"
"SURVEY_GRASS_RICHNESS_SPEC41","242"
"SURVEY_GRASS_RICHNESS_SPEC41","243"
"SURVEY_GRASS_RICHNESS_SPEC41","244"
"SURVEY_GRASS_RICHNESS_SPEC41","245"
"SURVEY_GRASS_RICHNESS_SPEC33","250"
"SURVEY_GRASS_RICHNESS_SPEC33","251"
"SURVEY_GRASS_RICHNESS_SPEC33","252"
"SURVEY_GRASS_RICHNESS_SPEC33","253"
"SURVEY_GRASS_RICHNESS_SPEC33","254"
"SURVEY_GRASS_RICHNESS_SPEC33","255"
"SURVEY_GRASS_RICHNESS_SPEC33","256"
"SURVEY_GRASS_RICHNESS_SPEC33","257"
"SURVEY_GRASS_RICHNESS_SPEC33","258"
"SURVEY_GRASS_RICHNESS_SPEC33","259"
"SURVEY_GRASS_RICHNESS_SPEC33","260"
"SURVEY_GRASS_RICHNESS_SPEC33","261"
"SURVEY_GRASS_RICHNESS_SPEC33","262"
"SURVEY_GRASS_RICHNESS_SPEC33","263"
"SURVEY_GRASS_RICHNESS_SPEC33","670"
"SURVEY_GRASS_RICHNESS_SPEC33","671"
"SURVEY_GRASS_RICHNESS_SPEC33","672"
"SURVEY_GRASS_RICHNESS_SPEC33","673"
"SURVEY_GRASS_RICHNESS_SPEC33","674"
"SURVEY_GRASS_RICHNESS_SPEC33","675"
"SURVEY_GRASS_RICHNESS_SPEC33","676"
"SURVEY_GRASS_RICHNESS_SPEC33","677"
"SURVEY_GRASS_RICHNESS_SPEC33","1569"
"SURVEY_GRASS_RICHNESS_SPEC33","1570"
"SURVEY_GRASS_RICHNESS_SPEC33","1571"
"SURVEY_GRASS_RICHNESS_SPEC33","1572"
"SURVEY_GRASS_RICHNESS_SPEC33","1573"
"SURVEY_GRASS_RICHNESS_SPEC33","1574"
"SURVEY_GRASS_RICHNESS_SPEC33","1575"
"SURVEY_GRASS_RICHNESS_SPEC33","1576"
"SURVEY_GRASS_RICHNESS_SPEC33","1577"
"SURVEY_GRASS_RICHNESS_SPEC33","1578"
"SURVEY_GRASS_RICHNESS_SPEC33","1088"
"SURVEY_GRASS_RICHNESS_SPEC14","314"
"SURVEY_GRASS_RICHNESS_SPEC34","398"
"SURVEY_GRASS_RICHNESS_SPEC34","399"
"SURVEY_GRASS_RICHNESS_SPEC34","400"
"SURVEY_GRASS_RICHNESS_SPEC34","401"
"SURVEY_GRASS_RICHNESS_SPEC34","402"
"SURVEY_GRASS_RICHNESS_SPEC34","403"
"SURVEY_GRASS_RICHNESS_SPEC34","404"
"SURVEY_GRASS_RICHNESS_SPEC34","405"
"SURVEY_GRASS_RICHNESS_SPEC34","406"
"SURVEY_GRASS_RICHNESS_SPEC34","407"
"SURVEY_GRASS_RICHNESS_SPEC34","408"
"SURVEY_GRASS_RICHNESS_SPEC34","409"
"SURVEY_GRASS_RICHNESS_SPEC34","410"
"SURVEY_GRASS_RICHNESS_SPEC34","411"
"SURVEY_GRASS_RICHNESS_SPEC34","412"
"SURVEY_GRASS_RICHNESS_SPEC34","413"
"SURVEY_GRASS_RICHNESS_SPEC28","520"
"SURVEY_GRASS_RICHNESS_SPEC28","521"
"SURVEY_GRASS_RICHNESS_SPEC28","522"
"SURVEY_GRASS_RICHNESS_SPEC28","523"
"SURVEY_GRASS_RICHNESS_SPEC28","524"
"SURVEY_GRASS_RICHNESS_SPEC28","525"
"SURVEY_GRASS_RICHNESS_SPEC28","526"
"SURVEY_GRASS_RICHNESS_SPEC28","527"
"SURVEY_GRASS_RICHNESS_SPEC28","528"
"SURVEY_GRASS_RICHNESS_SPEC28","529"
"SURVEY_GRASS_RICHNESS_SPEC28","530"
"SURVEY_GRASS_RICHNESS_SPEC28","531"
"SURVEY_GRASS_RICHNESS_SPEC28","532"
"SURVEY_GRASS_RICHNESS_SPEC28","533"
"SURVEY_GRASS_RICHNESS_SPEC28","534"
"SURVEY_GRASS_RICHNESS_SPEC28","535"
"SURVEY_GRASS_RICHNESS_SPEC28","536"
"SURVEY_GRASS_RICHNESS_SPEC28","537"
"SURVEY_GRASS_RICHNESS_SPEC28","538"
"SURVEY_GRASS_RICHNESS_SPEC28","539"
"SURVEY_GRASS_RICHNESS_SPEC28","540"
