family,genus,searched.name,count,score
Asteraceae,Hieracium,Hieracium.lactucella,1,0.006501893
Asteraceae,Pilosella,Hieracium.lactucella,1,0.006501893
Compositae,Pilosella,Hieracium.lactucella,1,0.006501893
Poaceae,Chaetopogon,Chaetopogon.fasciculatus,1,0.01827
Lamiaceae,Thymus,Thymus.leptophyllus,1,0.05935
Poaceae,Helictotrichon,Helictotrichon.decorum,1,0.22415
Brassicaceae,Berteroa,Berteroa.obliqua,1,0.27377
Campanulaceae,Campanula,Campanula.sparsa,1,0.37113
Apiaceae,Echinophora,Echinophora.tenuifolia,1,0.38885
Poaceae,Holcus,Holcus.annuus,1,0.55417
Asteraceae,Hieracium,Hieracium.piloselloides,1,0.75086
Asteraceae,Pilosella,Hieracium.piloselloides,1,0.75086
Compositae,Pilosella,Hieracium.piloselloides,1,0.75086
Poaceae,Anisantha,Anisantha.fasciculata,1,0.8884
Brassicaceae,Erysimum,Erysimum.drenowskii,1,0.89462
Boraginaceae,Anchusa,Anchusa.hybrida,1,0.8978
Poaceae,Stipa,Stipa.iberica,1,0.91599
Rubiaceae,Crucianella,Crucianella.patula,2,0.018849152
Compositae,Cirsium,Cirsium.ligulare,2,0.034415
Rosaceae,Sanguisorba,Sanguisorba.hybrida,2,0.252105
Cyperaceae,Carex,Carex.ovalis,2,0.37659
Cyperaceae,Carex,Carex.ovalis,2,0.37659
Cyperaceae,Carex,Carex.ovalis,2,0.37659
Lamiaceae,Stachys,Stachys.angustifolia,3,0.11315
Caryophyllaceae,Petrorhagia,Petrorhagia.dubia,3,0.35341084
Caryophyllaceae,Petrorhagia,Petrorhagia.dubia,3,0.35341084
Apiaceae,Distichoselinum,Distichoselinum.tenuifolium,3,0.427676667
Poaceae,Neoschischkinia,Neoschischkinia.pourretii,3,0.447983333
Poaceae,Avellinia,Avellinia.festucoides,3,0.473044513
Lamiaceae,Teucrium,Teucrium.murcicum,3,0.541933333
Lamiaceae,Thymus,Thymus.odoratissimus,4,0.05271
Caryophyllaceae,Moenchia,Moenchia.erecta,4,0.192795
Poaceae,Hyparrhenia,Hyparrhenia.sinaica,4,0.5806175
Hypericaceae,Hypericum,Hypericum.rumeliacum,5,0.359208
Poaceae,Lolium,Lolium.x.boucheanum,5,0.491718
Apiaceae,Opopanax,Opopanax.hispidus,6,0.080183333
Fabaceae,Trifolium,Trifolium.gemellum,6,0.189556667
Caryophyllaceae,Moenchia,Moenchia.graeca,6,0.29935
Fabaceae,Ononis,Ononis.cintrana,6,0.336841687
Leguminosae,Ononis,Ononis.cintrana,6,0.336841687
Brassicaceae,Cardaria,Cardaria.draba,6,0.556746229
Brassicaceae,Lepidium,Cardaria.draba,6,0.556746229
Brassicaceae,Lepidium,Cardaria.draba,6,0.556746229
Compositae,Achillea,Achillea.chrysocoma,7,0.146794286
Orchidaceae,Serapias,Serapias.bergonii,7,0.159375714
Plumbaginaceae,Armeria,Armeria.transmontana,7,0.336546008
Caprifoliaceae,Knautia,Knautia.subscaposa,8,0.03074125
Caprifoliaceae,Knautia,Knautia.subscaposa,8,0.03074125
Caprifoliaceae,Knautia,Knautia.subscaposa,8,0.03074125
Compositae,Hieracium,Hieracium.bifidum,8,0.0592525
Fabaceae,Lotus,Lotus.tenuis,8,0.10125625
Fabaceae,Lotus,Lotus.tenuis,8,0.10125625
Leguminosae,Lotus,Lotus.tenuis,8,0.10125625
Fabaceae,Lotus,Lotus.tenuis,8,0.10125625
Compositae,Centaurea,Centaurea.hyssopifolia,8,0.18485
Scrophulariaceae,Verbascum,Verbascum.banaticum,9,0.104705556
Caryophyllaceae,Spergula,Spergularia.purpurea,9,0.174881111
Caryophyllaceae,Spergularia,Spergularia.purpurea,9,0.174881111
Caryophyllaceae,Eudianthe,Silene.laeta,9,0.213246215
Caryophyllaceae,Silene,Silene.laeta,9,0.213246215
Fabaceae,Trifolium,Trifolium.phleoides,9,0.255855556
Fabaceae,Trifolium,Trifolium.ligusticum,9,0.386553333
Rosaceae,Poterium,Sanguisorba.verrucosa,10,0.074642
Rosaceae,Poterium,Sanguisorba.verrucosa,10,0.074642
Rosaceae,Sanguisorba,Sanguisorba.verrucosa,10,0.074642
Poaceae,Stipa,Stipa.atlantica,10,0.126517
Rosaceae,Potentilla,Potentilla.pusilla,10,0.173384
Rosaceae,Potentilla,Potentilla.pusilla,10,0.173384
Apiaceae,Carum,Carum.verticillatum,11,0.08794
Caryophyllaceae,Silene,Silene.tridentata,11,0.141245896
Compositae,Tripleurospermum,Tripleurospermum.tenuifolium,11,0.151560909
Gentianaceae,Centaurium,Centaurium.pulchellum,11,0.266263636
Compositae,Centaurea,Centaurea.aristata,11,0.434442727
Poaceae,Stipa,Stipa.pulcherrima,12,0.088904167
Caryophyllaceae,Dianthus,Dianthus.pinifolius,12,0.2578925
Caryophyllaceae,Silene,Silene.legionensis,13,0.086602539
Grossulariaceae,Ribes,Ribes.spicatum,13,0.101453077
Rubiaceae,Galium,Galium.estebanii,13,0.111898296
Caryophyllaceae,Dianthus,Dianthus.cruentus,13,0.220447692
Poaceae,Anthoxanthum,Anthoxanthum.ovatum,13,0.326520083
Euphorbiaceae,Euphorbia,Euphorbia.sulcata,14,0.27673799
Asteraceae,Filago,Filago.gallica,15,0.179621793
Asteraceae,Logfia,Filago.gallica,15,0.179621793
Asteraceae,Logfia,Filago.gallica,15,0.179621793
Salicaceae,Salix,Salix.euxina,18,0.075914175
Resedaceae,Reseda,Reseda.virgata,19,0.179920666
Orobanchaceae,Rhinanthus,Rhinanthus.rumelicus,19,0.260044211
Lamiaceae,Teucrium,Teucrium.expassum,20,0.3290275
Fabaceae,Astragalus,Biserrula.pelecinus,21,0.48555381
Fabaceae,Astragalus,Biserrula.pelecinus,21,0.48555381
Leguminosae,Astragalus,Biserrula.pelecinus,21,0.48555381
Papilionaceae,Astragalus,Biserrula.pelecinus,21,0.48555381
Fabaceae,Biserrula,Biserrula.pelecinus,21,0.48555381
Asparagaceae,Muscari,Muscari.racemosum,22,0.182036699
Papilionaceae,Lotus,Lotus.tenuis,22,0.195410294
Boraginaceae,Onosma,Onosma.heterophylla,22,0.298716364
Lamiaceae,Thymus,Thymus.striatus,23,0.086876638
Polygalaceae,Polygala,Polygala.supina,23,0.152086522
Fabaceae,Lotus,Lotus.subbiflorus,24,0.253494341
Fabaceae,Lotus,Lotus.subbiflorus,24,0.253494341
Leguminosae,Lotus,Lotus.subbiflorus,24,0.253494341
Poaceae,Cynosurus,Cynosurus.effusus,25,0.393314159
Brassicaceae,Alyssum,Alyssum.granatense,25,0.404135721
Lamiaceae,Thymus,Thymus.sibthorpii,28,0.160021345
Amaranthaceae,Atriplex,Atriplex.hastata,28,0.339086936
Leguminosae,Hippocrepis,Hippocrepis.commutata,28,0.4288975
Poaceae,Arrhenatherum,Arrhenatherum.album,30,0.108341208
Orchidaceae,Dactylorhiza,Dactylorhiza.cordigera,30,0.296594
Poaceae,Festuca,Festuca.ampla,32,0.126406723
Fabaceae,Astragalus,Astragalus.cymbicarpos,33,0.10775303
Leguminosae,Astragalus,Astragalus.cymbicarpos,33,0.10775303
Orchidaceae,Dactylorhiza,Dactylorhiza.baltica,35,0.202114764
Poaceae,Phleum,Phleum.rhaeticum,35,0.309104
Fabaceae,Hedysarum,Onobrychis.humilis,37,0.271364332
Fabaceae,Onobrychis,Onobrychis.humilis,37,0.271364332
Rubiaceae,Galium,Galium.spurium,39,0.198098462
Fabaceae,Cytisus,Cytisus.albus,41,0.066949085
Leguminosae,Cytisus,Cytisus.albus,41,0.066949085
Fabaceae,Onobrychis,Onobrychis.crista-galli,41,0.209807317
Compositae,Picris,Picris.hispanica,41,0.277417561
Apiaceae,Conopodium,Conopodium.subcarneum,43,0.11168907
Plantaginaceae,Linaria,Linaria.simplex,45,0.247807286
Cyperaceae,Carex,Carex.cuprina,46,0.253648194
Lamiaceae,Chaiturus,Chaiturus.marrubiastrum,46,0.293312391
Asteraceae,Picris,Picris.rhagadioloides,50,0.1100004
Asteraceae,Picris,Picris.rhagadioloides,50,0.1100004
Compositae,Picris,Picris.rhagadioloides,50,0.1100004
Poaceae,Schedonorus,Schedonorus.pratensis,50,0.266047351
Poaceae,Schedonorus,Schedonorus.pratensis,50,0.266047351
Poaceae,Narduroides,Narduroides.salzmannii,54,0.0978542
Fabaceae,Astragalus,Astragalus.clusianus,54,0.514351703
Poaceae,Festuca,Festuca.auquieri,58,0.052075531
Poaceae,Alopecurus,Alopecurus.utriculatus,58,0.407887759
Poaceae,Helictotrichon,Helictotrichon.cantabricum,59,0.070618265
